customer_id,gender,senior,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,Excel functions -> Exercise3,average_monthly_charges,Excel functions -> Exercise4,contract_type,phone_type,internet_type,service_type
9975-GPKZU,Male,0,Yes,Yes,1,0,2,Credit card (automatic),$19.75 ,$856.50 ,No,43,FALSE,FALSE,TRUE,FALSE,FALSE,3,20160701,$19.75 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9974-JFBHQ,Male,0,No,Yes,1,2,0,Credit card (automatic),$99.15 ,"$6,171.20 ",No,62,FALSE,FALSE,TRUE,TRUE,TRUE,2,20141205,$99.15 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9972-VAFJJ,Female,1,Yes,No,1,2,1,Electronic check,$94.00 ,"$4,871.45 ",No,52,TRUE,FALSE,TRUE,TRUE,TRUE,1,20151018,$94.00 ,TRUE,1 Year,One Line,Fiber Optic,Phone+Internet
9972-NKTFD,Female,0,No,No,1,1,0,Bank transfer (automatic),$54.65 ,"$1,517.50 ",No,28,TRUE,FALSE,TRUE,TRUE,TRUE,0,20171019,$54.65 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9972-EWRJS,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$19.25 ,"$1,372.90 ",No,71,TRUE,FALSE,TRUE,FALSE,FALSE,3,20140304,$19.25 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9971-ZWPBF,Male,1,Yes,Yes,2,2,0,Electronic check,$108.90 ,"$3,625.20 ",No,33,FALSE,FALSE,TRUE,TRUE,TRUE,3,20170504,$108.90 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9970-QBCDA,Female,0,No,No,1,0,0,Credit card (automatic),$19.70 ,$129.55 ,No,7,TRUE,FALSE,TRUE,FALSE,FALSE,0,20190725,$19.70 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9968-FFVVH,Male,0,No,No,2,1,1,Bank transfer (automatic),$68.80 ,"$4,111.35 ",No,60,FALSE,FALSE,TRUE,TRUE,TRUE,0,20150219,$68.80 ,TRUE,1 Year,Two or More Lines,DSL,Phone+Internet
9967-ATRFS,Female,0,No,No,1,0,0,Mailed check,$19.90 ,$367.55 ,No,18,TRUE,FALSE,TRUE,FALSE,FALSE,0,20180729,$19.90 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9965-YOKZB,Male,1,No,No,2,2,0,Electronic check,$83.85 ,$790.15 ,Yes,9,FALSE,TRUE,TRUE,TRUE,TRUE,0,20190430,$83.85 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9964-WBQDJ,Female,0,Yes,No,2,0,2,Credit card (automatic),$24.40 ,"$1,725.40 ",No,71,TRUE,FALSE,TRUE,FALSE,FALSE,1,20140323,$24.40 ,TRUE,2 Year,Two or More Lines,No Internet Service,Phone Only
9962-BFPDU,Female,0,Yes,Yes,1,0,0,Mailed check,$20.05 ,$20.05 ,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,3,20200111,$20.05 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9961-JBNMK,Male,1,No,No,1,2,0,Bank transfer (automatic),$96.80 ,"$2,030.30 ",Yes,21,FALSE,TRUE,TRUE,TRUE,TRUE,0,20180514,$96.80 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9959-WOFKT,Male,0,No,Yes,2,2,2,Bank transfer (automatic),$106.70 ,"$7,382.25 ",No,69,FALSE,FALSE,TRUE,TRUE,TRUE,2,20140508,$106.70 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9958-MEKUC,Male,0,Yes,Yes,2,2,2,Credit card (automatic),$103.95 ,"$7,517.70 ",No,72,FALSE,FALSE,TRUE,TRUE,TRUE,3,20140202,$103.95 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9957-YODKZ,Male,1,Yes,No,2,2,0,Electronic check,$80.80 ,$457.10 ,No,6,FALSE,FALSE,TRUE,TRUE,TRUE,1,20190822,$80.80 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9955-QOPOY,Male,0,Yes,No,0,1,1,Credit card (automatic),$60.80 ,"$4,263.40 ",No,70,FALSE,FALSE,FALSE,TRUE,FALSE,1,20140410,$60.80 ,TRUE,1 Year,No Phone Service,DSL,Internet Only
9953-ZMKSM,Male,0,No,No,2,0,2,Mailed check,$25.25 ,"$1,559.30 ",No,62,FALSE,FALSE,TRUE,FALSE,FALSE,0,20141220,$25.25 ,TRUE,2 Year,Two or More Lines,No Internet Service,Phone Only
9950-MTGYX,Male,0,Yes,Yes,1,0,2,Credit card (automatic),$20.30 ,$487.95 ,No,24,FALSE,FALSE,TRUE,FALSE,FALSE,3,20180209,$20.30 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9948-YPTDG,Male,0,Yes,No,1,2,0,Electronic check,$79.45 ,"$3,013.05 ",Yes,38,FALSE,TRUE,TRUE,TRUE,TRUE,1,20161214,$79.45 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9947-OTFQU,Male,1,No,No,1,2,0,Electronic check,$74.40 ,"$1,074.30 ",Yes,14,FALSE,TRUE,TRUE,TRUE,TRUE,0,20181128,$74.40 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9945-PSVIP,Female,0,Yes,Yes,1,0,2,Mailed check,$18.70 ,$383.65 ,No,21,TRUE,FALSE,TRUE,FALSE,FALSE,3,20180527,$18.70 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9944-HKVVB,Female,0,No,No,1,2,0,Electronic check,$95.10 ,$307.40 ,Yes,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,20191104,$95.10 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9944-AEXBM,Male,0,No,No,2,2,0,Bank transfer (automatic),$85.65 ,"$2,664.30 ",No,31,FALSE,FALSE,TRUE,TRUE,TRUE,0,20170709,$85.65 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9943-VSZUV,Male,1,No,No,2,2,0,Mailed check,$75.70 ,"$5,060.85 ",No,67,FALSE,FALSE,TRUE,TRUE,TRUE,0,20140718,$75.70 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9940-RHLFB,Female,0,No,No,1,2,0,Electronic check,$75.30 ,$75.30 ,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200111,$75.30 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9940-HPQPG,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$91.75 ,$865.80 ,Yes,9,TRUE,TRUE,TRUE,TRUE,TRUE,1,20190429,$91.75 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9938-ZREHM,Female,0,Yes,No,2,1,1,Mailed check,$72.10 ,"$2,658.40 ",No,37,TRUE,FALSE,TRUE,TRUE,TRUE,1,20170115,$72.10 ,TRUE,1 Year,Two or More Lines,DSL,Phone+Internet
9938-TKDGL,Male,0,Yes,Yes,1,2,2,Electronic check,$99.55 ,"$6,668.00 ",No,67,FALSE,FALSE,TRUE,TRUE,TRUE,3,20140714,$99.55 ,TRUE,2 Year,One Line,Fiber Optic,Phone+Internet
9938-PRCVK,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$19.70 ,$804.25 ,No,41,TRUE,FALSE,TRUE,FALSE,FALSE,3,20160917,$19.70 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9938-EKRGF,Female,0,No,No,1,1,0,Mailed check,$84.45 ,"$1,287.85 ",No,15,TRUE,FALSE,TRUE,TRUE,TRUE,0,20181104,$84.45 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9933-QRGTX,Female,0,Yes,No,1,2,2,Electronic check,$97.20 ,"$5,611.75 ",No,58,TRUE,FALSE,TRUE,TRUE,TRUE,1,20150421,$97.20 ,TRUE,2 Year,One Line,Fiber Optic,Phone+Internet
9932-WBWIK,Male,0,No,No,1,0,0,Mailed check,$20.35 ,$215.25 ,No,11,FALSE,FALSE,TRUE,FALSE,FALSE,0,20190326,$20.35 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9931-KGHOA,Female,0,Yes,No,2,1,0,Bank transfer (automatic),$55.00 ,"$2,473.95 ",No,45,TRUE,FALSE,TRUE,TRUE,TRUE,1,20160513,$55.00 ,TRUE,Month-to-Month,Two or More Lines,DSL,Phone+Internet
9931-DCEZH,Male,0,No,Yes,1,1,1,Credit card (automatic),$54.40 ,"$1,516.60 ",No,28,FALSE,FALSE,TRUE,TRUE,TRUE,2,20171016,$54.40 ,TRUE,1 Year,One Line,DSL,Phone+Internet
9929-PLVPA,Female,0,No,Yes,1,0,0,Credit card (automatic),$20.40 ,$94.50 ,No,5,TRUE,FALSE,TRUE,FALSE,FALSE,2,20190923,$20.40 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9928-BZVLZ,Female,0,No,No,0,1,2,Mailed check,$49.85 ,$552.10 ,No,11,TRUE,FALSE,FALSE,TRUE,FALSE,0,20190311,$49.85 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9927-DSWDF,Male,0,Yes,No,1,2,0,Electronic check,$104.60 ,"$2,180.55 ",No,21,FALSE,FALSE,TRUE,TRUE,TRUE,1,20180517,$104.60 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9926-PJHDQ,Female,0,Yes,Yes,2,1,2,Bank transfer (automatic),$76.80 ,"$5,468.45 ",No,71,TRUE,FALSE,TRUE,TRUE,TRUE,3,20140308,$76.80 ,TRUE,2 Year,Two or More Lines,DSL,Phone+Internet
9924-JPRMC,Male,0,No,No,2,2,2,Electronic check,$118.20 ,"$8,547.15 ",No,72,FALSE,FALSE,TRUE,TRUE,TRUE,0,20140202,$118.20 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9921-ZVRHG,Female,0,No,No,2,2,0,Electronic check,$80.45 ,"$1,072.00 ",Yes,13,TRUE,TRUE,TRUE,TRUE,TRUE,0,20190101,$80.45 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9921-QFQUL,Female,0,Yes,No,2,2,0,Mailed check,$90.15 ,"$2,044.95 ",No,23,TRUE,FALSE,TRUE,TRUE,TRUE,1,20180323,$90.15 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9921-EZKBY,Male,0,No,Yes,2,2,0,Bank transfer (automatic),$95.30 ,"$3,275.15 ",No,34,FALSE,FALSE,TRUE,TRUE,TRUE,2,20170401,$95.30 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9919-YLNNG,Female,0,No,No,1,2,0,Bank transfer (automatic),$103.80 ,"$4,327.50 ",No,42,TRUE,FALSE,TRUE,TRUE,TRUE,0,20160821,$103.80 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9919-KNPOO,Female,0,Yes,No,2,2,0,Electronic check,$94.30 ,"$1,948.35 ",No,21,TRUE,FALSE,TRUE,TRUE,TRUE,1,20180523,$94.30 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9919-FZDED,Male,1,Yes,No,2,1,2,Credit card (automatic),$84.10 ,"$5,981.65 ",No,71,FALSE,FALSE,TRUE,TRUE,TRUE,1,20140310,$84.10 ,TRUE,2 Year,Two or More Lines,DSL,Phone+Internet
9917-KWRBE,Female,0,Yes,Yes,2,1,1,Credit card (automatic),$78.35 ,"$3,211.20 ",No,41,TRUE,FALSE,TRUE,TRUE,TRUE,3,20160912,$78.35 ,TRUE,1 Year,Two or More Lines,DSL,Phone+Internet
9916-AYHTC,Male,0,No,No,1,0,2,Credit card (automatic),$19.85 ,$916.00 ,No,46,FALSE,FALSE,TRUE,FALSE,FALSE,0,20160408,$19.85 ,TRUE,2 Year,One Line,No Internet Service,Phone Only
9912-OMZDS,Female,0,Yes,Yes,2,2,1,Electronic check,$106.15 ,"$6,256.20 ",No,59,TRUE,FALSE,TRUE,TRUE,TRUE,3,20150316,$106.15 ,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone+Internet
9912-GVSEQ,Female,1,Yes,No,2,2,0,Electronic check,$93.85 ,"$2,381.55 ",Yes,25,TRUE,TRUE,TRUE,TRUE,TRUE,1,20171231,$93.85 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9909-IDLEK,Male,0,Yes,Yes,2,2,0,Mailed check,$96.80 ,"$1,826.70 ",No,19,FALSE,FALSE,TRUE,TRUE,TRUE,3,20180717,$96.80 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9909-DFRJA,Female,0,No,No,1,2,1,Bank transfer (automatic),$95.85 ,"$2,475.35 ",No,26,TRUE,FALSE,TRUE,TRUE,TRUE,0,20171217,$95.85 ,TRUE,1 Year,One Line,Fiber Optic,Phone+Internet
9907-SWKKF,Female,1,No,No,0,1,0,Mailed check,$25.05 ,$25.05 ,Yes,1,TRUE,TRUE,FALSE,TRUE,FALSE,0,20200111,$25.05 ,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
9906-NHHVC,Female,1,No,No,0,1,2,Bank transfer (automatic),$53.50 ,"$3,517.90 ",No,66,TRUE,FALSE,FALSE,TRUE,FALSE,0,20140820,$53.50 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9904-EHEVJ,Female,1,Yes,Yes,2,2,0,Mailed check,$91.35 ,"$2,896.55 ",No,32,TRUE,FALSE,TRUE,TRUE,TRUE,3,20170621,$91.35 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9903-LYSAB,Male,0,Yes,No,2,2,0,Electronic check,$73.15 ,"$1,305.95 ",No,18,FALSE,FALSE,TRUE,TRUE,TRUE,1,20180816,$73.15 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9898-KZQDZ,Female,1,Yes,Yes,2,2,0,Credit card (automatic),$94.55 ,"$3,640.45 ",Yes,39,TRUE,TRUE,TRUE,TRUE,TRUE,3,20161126,$94.55 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9897-KXHCM,Female,0,Yes,Yes,1,2,0,Electronic check,$80.30 ,$250.05 ,Yes,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,20191108,$80.30 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9896-UYMIE,Male,0,No,No,2,2,1,Bank transfer (automatic),$114.30 ,"$7,383.70 ",No,65,FALSE,FALSE,TRUE,TRUE,TRUE,0,20140925,$114.30 ,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone+Internet
9895-VFOXH,Female,0,No,No,0,1,0,Mailed check,$24.40 ,$24.40 ,No,1,TRUE,FALSE,FALSE,TRUE,FALSE,0,20200111,$24.40 ,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
9894-QMIMJ,Female,0,No,No,1,1,1,Bank transfer (automatic),$55.80 ,"$1,327.85 ",No,24,TRUE,FALSE,TRUE,TRUE,TRUE,0,20180217,$55.80 ,TRUE,1 Year,One Line,DSL,Phone+Internet
9894-EZEWG,Female,0,No,No,1,2,0,Credit card (automatic),$74.30 ,$74.30 ,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200111,$74.30 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9891-NQDBD,Female,0,Yes,No,2,0,1,Mailed check,$25.55 ,$672.20 ,No,26,TRUE,FALSE,TRUE,FALSE,FALSE,1,20171202,$25.55 ,TRUE,1 Year,Two or More Lines,No Internet Service,Phone Only
9889-TMAHG,Male,1,No,No,1,2,0,Credit card (automatic),$100.30 ,$832.35 ,Yes,8,FALSE,TRUE,TRUE,TRUE,TRUE,0,20190603,$100.30 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9888-ZCUMM,Male,0,Yes,Yes,0,1,2,Bank transfer (automatic),$60.05 ,"$3,845.45 ",No,64,FALSE,FALSE,FALSE,TRUE,FALSE,3,20141012,$60.05 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9885-MFVSU,Female,0,Yes,Yes,0,1,2,Credit card (automatic),$46.35 ,"$1,662.05 ",No,36,TRUE,FALSE,FALSE,TRUE,FALSE,3,20170215,$46.35 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9885-CSMWE,Female,1,No,No,1,2,0,Electronic check,$78.45 ,$78.45 ,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200111,$78.45 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9885-AIBVB,Male,0,Yes,No,2,2,0,Electronic check,$85.80 ,"$2,440.25 ",No,28,FALSE,FALSE,TRUE,TRUE,TRUE,1,20170928,$85.80 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9881-VCZEP,Female,0,Yes,No,2,1,0,Electronic check,$54.10 ,"$1,373.00 ",No,25,TRUE,FALSE,TRUE,TRUE,TRUE,1,20171231,$54.10 ,TRUE,Month-to-Month,Two or More Lines,DSL,Phone+Internet
9880-TDQAC,Female,0,Yes,Yes,0,1,2,Electronic check,$60.00 ,"$4,264.00 ",No,71,TRUE,FALSE,FALSE,TRUE,FALSE,3,20140312,$60.00 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9878-TNQGW,Male,0,No,No,1,2,0,Electronic check,$80.95 ,$171.15 ,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,20191208,$80.95 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9874-QLCLH,Female,0,Yes,Yes,2,2,0,Electronic check,$104.20 ,"$1,743.50 ",Yes,17,TRUE,TRUE,TRUE,TRUE,TRUE,3,20180920,$104.20 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9873-MNDKV,Female,0,No,No,1,1,0,Mailed check,$44.65 ,$472.25 ,No,11,TRUE,FALSE,TRUE,TRUE,TRUE,0,20190326,$44.65 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9871-ELEYA,Female,0,No,Yes,1,1,2,Credit card (automatic),$67.65 ,"$2,339.30 ",No,35,TRUE,FALSE,TRUE,TRUE,TRUE,2,20170326,$67.65 ,TRUE,2 Year,One Line,DSL,Phone+Internet
9867-XOBQA,Female,0,No,Yes,0,1,2,Mailed check,$53.15 ,"$1,183.20 ",No,22,TRUE,FALSE,FALSE,TRUE,FALSE,2,20180404,$53.15 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9867-NNXLC,Female,0,No,No,1,0,0,Mailed check,$20.05 ,$470.20 ,No,23,TRUE,FALSE,TRUE,FALSE,FALSE,0,20180227,$20.05 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9867-JCZSP,Female,0,Yes,Yes,1,0,1,Mailed check,$20.75 ,$418.25 ,No,20,TRUE,FALSE,TRUE,FALSE,FALSE,3,20180607,$20.75 ,TRUE,1 Year,One Line,No Internet Service,Phone Only
9866-QEVEE,Male,0,No,No,2,2,0,Bank transfer (automatic),$86.00 ,"$1,532.45 ",Yes,18,FALSE,TRUE,TRUE,TRUE,TRUE,0,20180817,$86.00 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9866-OCCKE,Female,1,Yes,No,2,2,2,Mailed check,$109.75 ,"$8,075.35 ",No,74,TRUE,FALSE,TRUE,TRUE,TRUE,1,20131225,$109.75 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9863-JZAIC,Male,0,No,No,1,1,0,Mailed check,$55.00 ,"$2,010.55 ",Yes,37,FALSE,TRUE,TRUE,TRUE,TRUE,0,20170125,$55.00 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9862-KJTYK,Male,0,No,Yes,0,1,0,Credit card (automatic),$25.35 ,$566.10 ,No,22,FALSE,FALSE,FALSE,TRUE,FALSE,2,20180402,$25.35 ,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
9861-PDSZP,Female,0,No,No,2,2,2,Credit card (automatic),$108.05 ,"$7,806.60 ",No,72,TRUE,FALSE,TRUE,TRUE,TRUE,0,20140204,$108.05 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9860-LISIZ,Female,0,No,No,1,0,0,Mailed check,$20.35 ,$673.20 ,No,33,TRUE,FALSE,TRUE,FALSE,FALSE,0,20170510,$20.35 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9853-JFZDU,Female,0,Yes,No,1,1,0,Electronic check,$56.85 ,"$1,861.10 ",No,33,TRUE,FALSE,TRUE,TRUE,TRUE,1,20170521,$56.85 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9851-QXEEQ,Male,0,No,No,2,2,0,Electronic check,$104.70 ,"$4,346.40 ",Yes,42,FALSE,TRUE,TRUE,TRUE,TRUE,0,20160827,$104.70 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9851-KIELU,Male,0,No,No,1,2,0,Electronic check,$110.10 ,"$1,043.30 ",Yes,9,FALSE,TRUE,TRUE,TRUE,TRUE,0,20190428,$110.10 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9850-OWRHQ,Female,0,Yes,No,2,2,0,Credit card (automatic),$74.10 ,$228.00 ,Yes,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,20191109,$74.10 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9848-JQJTX,Male,0,No,No,2,2,2,Bank transfer (automatic),$100.90 ,"$7,459.05 ",No,74,FALSE,FALSE,TRUE,TRUE,TRUE,0,20131215,$100.90 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9847-HNVGP,Male,0,No,No,1,0,1,Mailed check,$19.95 ,$310.60 ,No,16,FALSE,FALSE,TRUE,FALSE,FALSE,0,20181025,$19.95 ,TRUE,1 Year,One Line,No Internet Service,Phone Only
9846-GKXAS,Female,0,No,No,1,2,0,Bank transfer (automatic),$90.80 ,$809.75 ,Yes,9,TRUE,TRUE,TRUE,TRUE,TRUE,0,20190515,$90.80 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9845-QOMAD,Male,0,Yes,Yes,1,0,1,Mailed check,$19.75 ,$309.35 ,No,16,FALSE,FALSE,TRUE,FALSE,FALSE,3,20181022,$19.75 ,TRUE,1 Year,One Line,No Internet Service,Phone Only
9845-PEEKO,Female,1,No,No,2,2,2,Credit card (automatic),$79.20 ,"$4,590.35 ",No,58,TRUE,FALSE,TRUE,TRUE,TRUE,0,20150415,$79.20 ,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone+Internet
9844-FELAJ,Female,1,Yes,Yes,2,2,1,Electronic check,$107.90 ,"$7,475.85 ",No,69,TRUE,FALSE,TRUE,TRUE,TRUE,3,20140505,$107.90 ,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone+Internet
9842-EFSYY,Female,0,No,Yes,0,1,0,Mailed check,$57.20 ,$223.75 ,No,4,TRUE,FALSE,FALSE,TRUE,FALSE,2,20191015,$57.20 ,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
9840-EFJQB,Female,0,No,No,1,2,0,Electronic check,$74.35 ,$74.35 ,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,20200111,$74.35 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9840-DVNDC,Male,0,No,No,1,2,0,Credit card (automatic),$80.50 ,$463.05 ,Yes,6,FALSE,TRUE,TRUE,TRUE,TRUE,0,20190820,$80.50 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9839-ETQOE,Male,0,No,Yes,0,1,0,Electronic check,$40.45 ,"$1,912.85 ",No,47,FALSE,FALSE,FALSE,TRUE,FALSE,2,20160304,$40.45 ,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
9838-BFCQT,Male,0,Yes,Yes,2,0,2,Mailed check,$26.10 ,"$1,851.45 ",No,71,FALSE,FALSE,TRUE,FALSE,FALSE,3,20140316,$26.10 ,TRUE,2 Year,Two or More Lines,No Internet Service,Phone Only
9837-FWLCH,Male,0,Yes,Yes,1,0,0,Electronic check,$19.20 ,$239.00 ,No,12,FALSE,FALSE,TRUE,FALSE,FALSE,3,20190128,$19.20 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9837-BMCLM,Male,0,No,No,1,2,0,Electronic check,$78.50 ,$242.05 ,Yes,3,FALSE,TRUE,TRUE,TRUE,TRUE,0,20191109,$78.50 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9835-ZIITK,Male,1,Yes,No,2,2,1,Electronic check,$110.85 ,"$7,491.75 ",Yes,68,FALSE,TRUE,TRUE,TRUE,TRUE,1,20140626,$110.85 ,TRUE,1 Year,Two or More Lines,Fiber Optic,Phone+Internet
